City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,kobe,34.6913,135.183,60.89,78,0,1.01,JP,1649513412
173,marawi,7.9986,124.2928,66.74,95,100,1.03,PH,1649513584
174,grand gaube,-20.0064,57.6608,80.38,78,1,5.99,MU,1649513584
175,koungou,-12.7336,45.2042,85.71,70,0,3.44,YT,1649513584
176,vieux-habitants,16.0589,-61.7659,84.7,65,43,14.47,GP,1649513584
177,borna,51.1167,12.5,52.29,63,20,19.57,DE,1649513584
178,owando,-0.4819,15.8999,93.27,38,56,4.99,CG,1649513584
179,general cepeda,25.3833,-101.45,64.08,42,63,3.2,MX,1649513584
180,grindavik,63.8424,-22.4338,37.87,93,75,28.77,IS,1649513584
181,lagos,6.5833,3.75,89.13,59,100,8.25,NG,1649513508
182,maniitsoq,65.4167,-52.9,18.01,75,40,1.7,GL,1649513584
183,saint anthony,45.0205,-93.218,39.06,51,0,4.61,US,1649513584
184,pampa,35.5362,-100.9599,59.95,20,0,27.63,US,1649513585
185,ormara,25.2088,64.6357,81.9,73,14,13.22,PK,1649513585
186,praia da vitoria,38.7333,-27.0667,55.76,89,100,26.19,PT,1649513585
187,maceio,-9.6658,-35.7353,87.24,70,75,12.66,BR,1649513585
188,bergerac,44.8333,0.5,59.86,47,0,10.36,FR,1649513535
189,sisimiut,66.9395,-53.6735,15.8,72,52,2.66,GL,1649513585
190,husavik,66.0449,-17.3389,28.06,72,31,5.7,IS,1649513585
191,adrar,20.5022,-10.0711,94.33,6,0,4.83,MR,1649513585
192,lebu,-37.6167,-73.65,58.08,74,35,12.82,CL,1649513585
193,new glasgow,45.5834,-62.6486,41.79,78,97,6.11,CA,1649513585
194,kudahuvadhoo,2.6708,72.8944,85.06,62,18,9.91,MV,1649513586
195,alofi,-19.0595,-169.9187,81.05,76,47,6.89,NU,1649513586
196,cayhagan,9.6697,122.4256,78.76,80,100,3.56,PH,1649513586
197,taoudenni,22.6783,-3.9836,94.73,4,0,13.53,ML,1649513586
198,bambous virieux,-20.3428,57.7575,80.22,83,40,8.05,MU,1649513586
199,samarai,-10.6167,150.6667,82.47,79,100,14.99,PG,1649513586
200,bogorodskoye,56.55,37.8833,45.3,75,81,10.4,RU,1649513586
201,salalah,17.0151,54.0924,84.29,74,0,9.22,OM,1649513586
202,chapaevsk,52.9813,49.7112,44.8,97,100,6.35,RU,1649513586
203,nurota,40.5614,65.6886,74.41,30,100,5.5,UZ,1649513586
204,carutapera,-1.195,-46.02,77.65,93,98,3.15,BR,1649513586
205,dudinka,69.4058,86.1778,2.62,100,92,3.71,RU,1649513444
206,beyneu,45.3167,55.2,67.77,41,43,17.16,KZ,1649513504
207,pacific grove,36.6177,-121.9166,48.31,86,40,5.75,US,1649513587
208,faya,18.3851,42.4509,75.72,27,0,10.76,SA,1649513587
209,talnakh,69.4865,88.3972,2.21,98,100,4.38,RU,1649513587
210,morant bay,17.8815,-76.4093,87.71,70,94,6.13,JM,1649513587
211,sarangani,5.4033,125.4636,82.92,82,54,22.77,PH,1649513587
212,lima,-12.0432,-77.0282,62.85,94,100,4.61,PE,1649513424
213,besikduzu,41.052,39.2284,55.29,70,13,9.22,TR,1649513587
214,smithville,39.3869,-94.5811,44.85,49,40,3.44,US,1649513587
215,gisborne,-38.6533,178.0042,51.15,88,6,6.13,NZ,1649513587
216,inhambane,-23.865,35.3833,77.09,62,100,18.1,MZ,1649513441
217,hungen,50.4737,8.8933,51.15,65,100,16.22,DE,1649513587
218,havre-saint-pierre,50.2334,-63.5986,32.83,99,100,10.54,CA,1649513587
219,imeni poliny osipenko,52.4201,136.4853,16.74,97,100,1.59,RU,1649513588
220,camacupa,-12.0167,17.4833,74.66,72,89,2.57,AO,1649513588
221,buy,58.4786,41.53,44.01,90,91,6.67,RU,1649513588
222,eureka,40.8021,-124.1637,44.26,83,8,4.0,US,1649513588
223,stokmarknes,68.5646,14.9108,40.98,56,0,9.22,NO,1649513588
224,ayan,56.45,138.1667,18.03,88,15,7.18,RU,1649513588
225,narsaq,60.9167,-46.05,35.82,45,2,1.19,GL,1649513588
226,kirakira,-10.4544,161.9205,79.39,81,67,6.26,SB,1649513588
227,namibe,-15.1961,12.1522,76.66,68,5,9.08,AO,1649513588
228,shetpe,44.1667,52.1167,59.25,51,100,19.73,KZ,1649513589
229,constitucion,-35.3333,-72.4167,58.69,70,100,1.07,CL,1649513589
230,taitung,22.7583,121.1444,72.48,79,46,7.34,TW,1649513589
231,sotouboua,8.5667,0.9833,101.53,28,91,3.15,TG,1649513589
232,vyatskiye polyany,56.226,51.0656,39.88,99,100,7.58,RU,1649513589
233,arraial do cabo,-22.9661,-42.0278,84.06,70,20,11.5,BR,1649513589
234,orland park,41.6303,-87.8539,38.86,70,40,13.8,US,1649513589
235,lasa,46.6166,10.7002,47.7,64,100,10.67,IT,1649513590
236,sungaipenuh,-2.0833,101.3833,66.13,96,100,0.4,ID,1649513590
237,dikson,73.5069,80.5464,9.59,95,100,4.59,RU,1649513590
238,pangnirtung,66.1451,-65.7125,10.4,79,100,8.05,CA,1649513590
239,barrhead,55.7992,-4.3929,51.06,51,100,15.01,GB,1649513590
240,walvis bay,-22.9575,14.5053,60.1,54,22,12.1,NA,1649513590
241,arrifes,37.7667,-25.7,59.25,67,40,28.77,PT,1649513590
242,sibu,2.3,111.8167,73.47,98,100,2.17,MY,1649513590
243,fairbanks,64.8378,-147.7164,-2.4,70,0,0.0,US,1649513590
244,tuatapere,-46.1333,167.6833,46.42,90,42,4.97,NZ,1649513590
245,tubuala,9.5167,-79.0333,78.15,92,100,15.03,PA,1649513590
246,kharan,28.5833,65.4167,93.36,5,2,11.61,PK,1649513590
247,calabozo,8.9242,-67.4293,88.3,44,51,12.57,VE,1649513591
248,kahului,20.8947,-156.47,74.84,77,0,8.99,US,1649513591
249,segezha,63.7415,34.3222,36.3,82,9,14.67,RU,1649513591
250,petropavlovsk-kamchatskiy,53.0452,158.6483,18.77,82,8,12.88,RU,1649513591
251,saint-francois,46.4154,3.9054,52.68,71,75,16.11,FR,1649513591
252,ambilobe,-13.2,49.05,79.97,86,100,1.68,MG,1649513591
